blenderin;blenderout;qgisin;qgisout;unityin;unityout;terrascanin;terrascanout;infraworksin;infraworksout;rhinoin;rhinoout;revitin;revitone;leapfrogin;leapfrogout;civil3din;civil3dout;fusion360in;fusion360out;nirain;niraout;3dsmaxin;3dsmaxout;agisoftin;agisoftout;pix4din;pix4dout;twinmotionin;twinmotionout;realitycapturein;realitycaptureout;contextcapturein;contextcaptureout;cloudcomparein;cloudcompareout;meshmixerin;meshmixerout;meshlabin;meshlabout;recapin;recapout;cyclonerin;cyclonerout
;;;;;;;;PNG;;SLC;SVG;;;;;;;;;PSD;;G;;;KMZ;;;;;;;;;;;;;;;;;;
;;;;;;;;SID;;SLDPRT;SKP;;;;;;;;;;;ASM;;;GEOTIFF;;;;;;;;;;;;;;;;;;
;;;;;;;;TIFF;;STP;SLC;;;;;;;;;;;RVT;;;MBTiles;;;;;;;;;;;;;;;;;;
;;;;;;;;WMS;;STL;SPEP;;;;;;;;;;;SAT;;;ASC;;;;;;;;;;;;;;;;;;
;;;;;;;;VRT;;VDA;STL;;;;;;;;;;;SHP;;;BIL;;;;;;;;;;;;;;;;;;
;;;;;;;;ZIP;;VRML;VDA;;;;;;;;;;;SKP;;;TLS;;;;;;;;;;;;;;;;;;
;;;;;;;;GZ;;GDF;VRML;;;;;;;;;;;SLDPRT;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDF;;STEP;GDF;;;;;;;;;;;SLDASM;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SHP;;SLDASM;WMF;;;;;;;;;;;STL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SKP;;XYZ;X3D;;;;;;;;;;;STP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SDX;;;XAML;;;;;;;;;;;STEP;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;SQLITE;;;XGL;;;;;;;;;;;TRC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;DB;;;ZPR;;;;;;;;;;;USD;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;WEMF;;;;;;;;;;;USDA;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;USDC;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WIRE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRL;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;WRZ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
